English,Marathi
But people have still not forgotten it.,पण लोक आजही विसरलेले नाहीत.
And some will never succeed.,आणि काही लोकांना तर ते कधीच उमगत नाही.
And she knowed nothing about it yet.,आणि तिला याबाबत कोणतीही माहिती नव्हती.
Some tips to spot adulteration in food,खाद्यपदार्थातील भेसळ ओळखण्यासाठी काही टिप्स. . .
Loved this video. . .,लोकांना हा व्हिडिओ खूप आवडला…
All accommodations were nice.,सर्व प्रकारच्या सोयी-सुविधा छानच होत्या.
And I would love to share it with you.,आणि मला ही आवडेल शेयर करायला.
He said this was an important step.,त्या दृष्टीने टाकलेले हे महत्त्वाचे पाऊल आहे असे ते म्हणाले.
There is always a heavy flow of vehicular traffic along this road.,या रस्त्यावर मालवाहतूक करणाऱ्या अवजड वाहनांची नेहमीच गर्दी असल्याने त्याची दुरवस्था झाली आहे.
"As the value of the company increases, so does the value of your stock.",कंपनीच्या शेअरचा भाव वाढला की त्याप्रमाणात त्याकंपनीचे बाजारमूल्यदेखील वाढते.
Absolutely no effort was needed.,खरे तर त्यासाठी प्रयत्न करण्याची गरजच नव्हती.
"""But no government looks at it,"" he said.","पण, सरकारला कुठेही भान दिसत नाही, अशी टीकाही त्‍यांनी केली."
She later told her family about it.,त्यानंतर त्याने कुटुंबीयांना कळवले.
But email is different.,पण ओसाका वेगळी आहे.
Let’s do it.,त्या करून घेऊया.
But nobody cares.,मात्र कुणीच दखल घेत नाही.
"This was after Governor BS Koshyari acted on a letter of the chief minister and urged the EC to hold the elections to allow Thackeray, who is at present not a member of either of the House of the Legislature, to fulfil the constitutional obligation of getting elected as a legislator.",राज्यपाल बी. एस. कोश्यारी यांनी मुख्यमंत्र्यांच्या पत्रावर कारवाई करत ठाकरे यांना आमदार म्हणून निवडून घेण्याची घटनात्मक जबाबदारी पार पाडण्यासाठी परवानगी द्यावी यासाठी त्यांनी निवडणुका घेण्याचे आवाहन केले होते.
"NCP chief and Union minister Sharad Pawar, Union ministers Vilasrao Deshmukh, Sushilkumar Shinde, Praful Patel, Rajeev Shukla and V Narayanasamy, Chief Minister Prithviraj Chavan, and former Goa Chief Minister Digamber Kamat were present on this occasion.","राष्ट्रवादीचे नेते शरद पवार, तत्कालिन उपमुख्यमंत्री अजित पवार, दिलीप वळसे पाटील, केंद्रीय गृहमंत्री सुशीलकुमार शिंदे, राज्याचे गृहमंत्री आर. आर. पाटील, कॉंग्रेसचे नेते दिग्विजय सिंह, मनसेचे अध्यक्ष राज ठाकरे यांच्यासह सर्व पक्षातील बडे नेते हजर होते"
""" (How brave was Veer' Savarkar?",'वीर सावरकर कितने वीर?
But I am so glad that you did.,पण मी हे करू शकले याचा मला खूप आनंद आहे.
The case erupted in January of last year.,गेल्या वर्षी जानेवारीत हि घटना घडली होती.
No casualty was reported till the filing of the news.,ही बातमी लिहिण्यापर्यंत सभागृहात कोणत्याही प्रकारची जीवितहानी झाली नाही.
"Among their specialists are Family Doctors, Pathologists, Nurse Practitioners, Orthopedic Surgeons, Anesthesiologists and Radiologists.","त्यामध्ये शल्य अँकोलॉजिस्ट, मेडिकल आँकोलॉजिस्ट, रॅडिएशन अँकोलॉजिस्ट, पॅथॉलॉजिस्ट आणि रुग्णांची काळजी घेणा-या तज्ज्ञ परिचारिकांचा समावेश आहे."
Computer working knowledge is essential.,संगणकाचे ज्ञान असणे आवशयक आहे.
"But the medications are very expensive, and many people cannot afford them.",मात्र ती औषध मोठया प्रमाणात महागडी असून ती उपचारपद्धती घेणे सर्वसामान्यांच्या आवाक्याबाहेर असते.
An important part of yoga is breathing exercises.,"प्राणायाम, म्हणजेच श्वासाचे व्यायाम हा सुद्धा योगाभ्यासाचा महत्वाचा पैलू आहे."
The number of persons allowed at funerals has been restricted to 20.,अंत्यविधीसाठी २० लोकांच्या उपस्थितीची मर्यादा ठेवण्यात आली आहे.
Could've been done better.,अजून चांगले करता आले असते.
But I never genuinely expect that either.,पण मी ही भाबडी आशा अजिबात बाळगली नाही.
Asians believe that rice noodles affect longevity.,आशियाई मानतात की भात नूडल्स दीर्घयुष्य प्रभावित करतात.
He also has two sons.,भाग्यश्री यांना दोन मुलंही आहेत.
“However we’re nonetheless on alert.,“मात्र तरीही आम्ही सर्वजण खबरदारी घेत आहोत.
It’s particular.,विशिष्ट’ म्हणजे खास.
"After his victory, Alvi thanked Pakistan's newly-elected Prime Minister, Imran Khan.",यानंतर पाकचे पंतप्रधान इमरान खान यांनी पाकिस्तानचे विजयाबद्दल अभिनंदन केलं आहे.
Ask Him about it.,त्याच्या कडे विचारुन बघ.
"Regular exercise will help strengthen the pectoral muscles, which helps to prevent flabbiness and reduce the risk of lowering the breast.","नियमित व्यायामामुळे छातीच्या पिलांना मजबूत होण्यास मदत होते, ज्यामुळे फोडपणा टाळता येतो आणि स्तन कमी होण्याचा धोका कमी होतो."
A case ha been registered at the Kranti Chowk police station in this regard.,पोलिसांनी याबाबत क्रांती चौक पोलिस ठाण्यात गुन्हा नोंद केला आहे.
He was admitted to a private hospital after he fell sick.,अपघातानंतर त्याला उपचारासाठी खाजगी रुग्णालयात दाखल करण्यात आले होते.
On the phone:,फोन वरील संभाषण:
Question the system.,व्यवस्थेला प्रश्न विचारतात.
Cook them until the water boils.,त्यातील पाणी नाहीसे होईपर्यंत ते शिजवून घ्यावेत.
Her family members immediately approached the police.,पोलिसांनी तत्काळ तिच्या कुटुंबाशी संपर्क साधला.
Prizes were distributed to the students.,विद्यार्थ्यांना पारितोषक वितरण करण्यात आले.
Which will be beneficial for you in future.,जो येणा-या काळात तुमच्यासाठी खूप फायदेशीर ठरू शकतो.
All papers are ready.,कागदपत्रे सर्वकाही तयार असतात.
All these answers you will find in the article.,या सर्व प्रश्नांची आपण लेखात उत्तरे आढळेल.
"But, it isn’t just the dying for me.","पण, हे असं केवळ माझ्यासोबच नाही घडलं."
"At the end, who benefits?",याचा फायदा शेवटी कोणाला होणार?
Since that time the matter has been a constant area of debate.,तेव्हापासून हा मतदारसंघ नेहमीच चर्चेत राहिला आहे.
The first list features candidates for 125 candidates.,पहिल्या यादीत 125 उमेदवारांना स्थान देण्यात आले आहे.
And the actors are great.,या नाटकाचे कलाकारदेखील भव्य आहेत.
Are you making effective use of that time?,तुम्ही वेळेचा सदुपयोग करता की नाही ?
A nurse is one of the most vital roles in the healthcare sector.,नर्सेस हि आरोग्य सेवेतील अतिशय महत्वाची व्यक्ती आहे.
There’s no option.,एक पर्याय नाही.
Priyanka Chopra has shared a video on her Instagram account.,अभिनेत्री तिस्का चोप्रा (Tisca Chopra) हिने तिच्या इन्स्टाग्रामच्या अकाउंटवर एक व्हिडिओ पोस्ट केला आहे.
Any one have any thing for sale?,विक्रीसाठी काही उरेल का?
The customers can book a flight through the smartphone app.,स्मार्टफोन अॅपवरून या टॅक्सीसाठी प्रवासी बुकींग करू शकणार आहेत.
Congress general secretary Priyanka Gandhi Vadra had recently announced that her party would give 40 percent of tickets to women in the upcoming state polls.,उत्तर प्रदेशच्या आगामी विधानसभा निवडणुकीसंदर्भात काँग्रेस पक्षाच्या नेत्या प्रियांका गांधी यांनी 40 टक्के तिकीट महिलांना देणार असल्याची घोषणा केली.
He was then taken to the hospital in an ambulance.,त्यानंतर त्यांना बेडशीट गुंडाळून रुग्णवाहिकेत नेण्यात आले.
Cover the pan and reduce to low heat.,पातेल्यावर झाकण ठेवुन गॅस कमी करुन ठेवा.
"In her letter, Sonia Gandhi said that the government had earned about Rs 2.6 lakh crore by raising petrol and diesel prices during the lockdown.","सोनिया गांधी पत्रात म्हटले, “केंद्र सरकारने लॉकडाउनच्या दरम्यान पेट्रोल आणि डिझेलच्या किंमतीत सुमारे २.६ लाख कोटी रुपयांची वाढ केली आहे."
A way it was never thought possible.,कधीही वाटलेही नव्हते की हे शक्य होईल म्हणून.
"The man, in order to enrich himself, marries the wealthy lady Emily French, who bequeaths to Voulah after his death all his fortune.","स्वतःला समृद्ध करण्यासाठी, श्रीमंत फ्रेंच नावाच्या श्रीमंत महिलेशी विवाह केला जातो, जो त्याच्या मृत्युनंतर त्याच्या सर्व संपत्तीमुळे वुलाला वारसा देतो."
But it feels as though I do.,पण मला तरी तसे जाणवते. असो.
Add salt and more of the water if necessary.,गरज वाटल्यास त्यात आणखी पाणी घालावं आणि त्याप्रमाणे मसाल्यांचं प्रमाणही वाढवावं.
Let us take an example to understand this point.,हा मुद्दा समजून घेण्यासाठी तान्ह्या बाळाचं उदाहरण घेऊ.
"Besides, it packs in unlimited calls, SMS and Jio app subscription for both.","शिवाय अनलिमिटेड फोनकॉल्स, मेसेजिंग आणि जिओ अॅपचं सब्सक्रिप्शनही यामध्ये मिळतं."
"After that, another window will appear.",यानंतर दुसरी विंडो खुली होणार आहे.
Hence daily exercise is a must.,त्यामुळे फिटनेस हे प्रत्येकाचे दैनंदिन काम व्हायला हवे.
And then they calmed me down.,अन मग त्यांनी माझी सुटका केली.
But I do have an idea that is worth consideration.,"परंतु, त्यावरून मला एक कल्पना सुचते."
No extra fee is levied.,यासाठी कोणत्याही प्रकारचे जादा शुल्क आकारले जात नाही.
The number of coronavirus patients in Maharashtra has been increasing on a daily basis.,महाराष्ट्रात कोरोना व्हायरसच्या रुग्णांची संख्या दिवसेंदिवस वाढताना दिसतंय.
Police went to arrest Narayan Rane.,तसेच पोलिसांनी नारायण राणेंच्या अटकेची प्रक्रिया सुरू केली.
All would be shed soon.,लवकरच सर्व नाहीशी झाली.
Congratulations to all bowlers who participated.,भाग घेतलेल्या सगळ्यांचेच अभिनंदन.
"And, here, I can tell you one thing.",येथे मला तुला एक गोष्ट सांगावीशी वाटते.
"It should be remembered that in a small kitchen it is better to use tiles of small size, and in a spacious room, a large tile will look great.","हे लक्षात ठेवावे की एका लहान स्वयंपाकघरमध्ये लहान आकाराच्या टाइलचा वापर करणे अधिक चांगले आहे आणि एका विस्तृत खोलीत, मोठी टाइल उत्कृष्ट दिसेल."
All the rooms come with a flat-screen TV and free WiFi access.,सर्व खोल्यांमध्ये फ्लॅट स्क्रीन टीव्ही सुसज्ज आहेत.
"Their ways are different, but the goal is the same.",त्यांचे अंतिम ध्येय एकच असले तरी त्या मार्ग वेगवेगळे चोखाळतात.
I’m not at all bitter.,मी मुळीच विषारी नसतो.
Be conscious of your feelings.,तुमच्या मनातील भावनांचं भान असू द्या.
The girl's body was found hanging from a tree in the forest.,तेव्हा मुलीचा मृतदेह हा जंगलामध्ये एका झाडाला लटकलेल्या अवस्थेत आढळून आला.
She shared a video from a photo shoot.,तिने चित्रपटाच्या शूटिंगच्या वेळीचा एक व्हिडिओ शेअर केला आहे.
The Court directed the state government to file a statement in this matter.,याची माहिती सादर करण्याचे आदेश न्यायालयाने राज्य शासनाला दिले आहेत.
That’s why the conference was held.,म्हणूनच त्यांनी ही कॉन्फरन्स भरवली होती.
What is the role?,जडेजाचा रोल काय?
He never neglected anyone.,त्यांनी कधीही काेणाची उपेक्षा केली नाही.
IPS Hemant Nagrale has been appointed as the new Commissioner of Mumbai Police.,मुंबई : नवी मुंबईचे पोलिस आयुक्त हेमंत नगराळे यांचं निलंबन करण्यात आलं आहे.
The government has tried this.,त्यासाठी सरकारने प्रयत्न केले आहे.
Water should be provided to the plants according to their needs.,रोपांना आवश्यकतेनुसार पाणी द्यावे.
And I agree with your second post.,मी तुमच्या क्रमांक दोनच्या मताशी सहमत आहे.
And I was never in them.,मी मात्र त्यांच्यात कधीच नसायचे.
"And if they don't do the work, who will?","त्यांनी काम नाही केले तर, कोण करणार?"
He was then taken to Dadar police station.,त्यानंतर त्याला सदर बझार पोलीस ठाण्यात नेले.
But the reasons are not yet clear.,पण त्याची कारणे आता गुपित राहिलेली नाहीत.
"As a result, heavy police force was deployed in the area.",त्यामुळे या परिसरात मोठ्या प्रमाणावर पोलीस बंदोबसंत ठेवण्यात आला आहे.
But I was manic before.,पण मीच आधी कमीपणा घेत होतो.
Applicants are required to provide IELTS or TOFEL results to prove his/her English language capabilities.,अर्जदाराने टोफेल किंवा आयईएलटीएस या इंग्रजी भाषेच्या परीक्षेत अत्युत्तम गुणांनी उत्तीर्ण होणे गरजेचे आहे.
"Members will also be given a kit with a face shield, mask, gloves and a bottle of hand sanitizer.","तसेच सदस्यांना एक किट देण्यात येणार असून त्यामध्ये एक फेस शिल्ड, मास्क, हॅडग्लोव्हज, हँड सॅनिटायझेशनची बॉटल देण्यात येणार आहेत."
"Indian cricket team will be playing three T-20Is, three ODIs and four Test matches against Australia.","ऑस्ट्रेलियाविरुद्ध भारत तीन वनडे, तीन टी-20 आणि चार टेस्ट मॅचची सीरिज खेळणार आहे."
Hari Prasad Chaurasia.,हरीप्रसाद चौरसिया.
"According to the Dietary Guidelines for Americans, it is recommended a healthy diet be 45-65% carbohydrate.",शिफारशी आहारशास्त्राने खालीलप्रमाणे आहार तयार करण्याची ऑफर दिली आहे: 45-65% अन्नांमध्ये कॉम्पलेक्स कार्बोहायड्रेट असणे आवश्यक आहे.
Creativity and intuition expand.,कल्पनाशक्ती आणि सृजनशक्तीला चालना मिळेल.
"Dad, mom, and younger sister were her beautiful and simple family.","आई, बाबा, लहान भाऊ आणि ती असे चौकोनी कुटुंब."
But how can we measure a behavior?,पण कर्म कसे मोजायचे?
Drinking water is supplied to the city from the canal.,शहराला शुद्धिकरण केलेल्या नळाच्या पाण्याचा पुरवठा होतो.
“She was English.,""" (ती अमराठी होती त्यामुळे इंग्रजी मधे सांगितले."
Also available in other colours.,यामध्ये विविध रंगसुद्धा उपलब्ध आहेत.
Children are studying.,मुले अजूनही शिक्षण घेत आहेत.
Islam is a peaceful religion.,इस्लाम हा शांततामय धर्म आहे.
The mental health issue is again being debated after the death of actor Sushant Singh Rajput.,बॉलिवूड अभिनेता सुशांत सिंह राजपूत (Sushant Singh Rajput) यांच्या मृत्यूनंतर मानसिक आजार या विषयावर जोरदार चर्चा सुरु आहे.
Advance registration is not needed.,आगाऊ बुकिंग आवश्यक नाही.
And is that honest?,आणि हे बरोबर आहे का?
"Meanwhile, the central government said that it has placed an order for 44 crore doses of COVID vaccines Covishield and Covaxin.",दरम्यान मंगळवारी केंद्र सरकारने कोविशिल्ड व कोवॅक्सिन लसीच्या ४४ कोटी खुराकांची ऑर्डर दिली आहे.
No-one thinks she will lose.,. . तिला कोणी हरवू शकेल असे वाटत नाहीये.
"Change is difficult, but not impossible.","बदल करणे अवघड आहे, परंतु अशक्य नाही."
He had no vices at all.,त्यांत त्याने कोणत्याही प्रकारचा शत्तपणा राखला नाही.
A total of four people were wounded in the attacks.,या हल्ल्यात चार जण जखमी झाले.
And what a beautiful place that is!,अगं किती सुन्दर ठिकाण आहे हे!
What is happening in Maharashtra?,"""महाराष्ट्रात चाललंय काय ?"
"This includes health workers, doctors, and police.","यामध्ये आरोग्य कर्मचारी, पोलीस आणि आवश्यक सेवेशी निगडीत कर्मचारी यांचा समावेश आहे."
"But, all this is still under discussion.","मात्र, हे सर्व प्रकरण वाढवून सांगितले जात आहे."
Air pollution levels are daunting.,हवेच्या प्रदूषणाची पातळी चिंताजनक आहे.
What is sustainability?,स्थिरता म्हणजे काय?
He was alone at home at the time.,त्यावेळी त्या घरात एकटयाच होत्या.
Does it only work for books?,ते फक्त पुस्तकातच राहिले का?
Could something like this happen in Ireland?,असं भारतात घडू शकेल का?
"Almonds, sunflower seeds, flaxseeds, mixed nuts and pumpkin seeds are also high sources of protein.","तसेच बदाम, आक्रोड, सुर्यफुलाच्या बिया, भोपळ्याच्या बिया यामध्ये पोषक तत्त्वांचे प्रमाण अधिकअसते."
America’s health care system is in the balance.,अमेरिकेची आरोग्य यंत्रणाच कोसळून पडली आहे.
My experience is just the opposite.,माझा अनुभव थोडा उलट आहे.
And still it’s going in this way.,आणि अजूनही तो झपाटलेपण तसाच आहे.
But I did ok for the first time.,पण मी हे सगळंच पहिल्यांदा करतोय.
This is happening due to the wrong and failed policies of this government.,हे सरकारच्या अविकसित कामामुळे व अविकसित धोरणामुळे अशी विदारक परिस्थिती निर्माण झाली आहे.
And it is so demeaning.,तसंच हे अत्यंत अपमानास्पद आहे.
And we had a conversation.,आणि आम्ही चाट करून बोलू लागलो.
"With the IPL dates announced, bcci. tv will pick its commentary panel soon.","आयपीएलच्या तारखा जाहीर झाल्या आहेत, त्यामुळे बीसीसीआय लवकरच आपलं कॉमेंट्री पॅनल अंतिम करणार आहे."
Are they taking time for themselves?,स्वत:साठी वेळ काढला जातोय का?
But her character is integral to the film's denouement.,पण तिचे पात्र सिनेमातहि महत्वाचे आहे.
Is this your culture?,", हेच तुमचे संस्कार का?"
"But I’ve done it, and it works.","पण, प्रयत्न केला आणि मी यशस्वी झाले."
"- Animal Farm, by George Orwell, is an excellent example of distortion as a literary device.",जॉर्ज ऑरवेल यांनी लिहिलेले ‘अ‍ॅनिमल फार्म’ हे विरूपणाचे साहित्यातले उत्कृष्ट उदाहरण आहे.
The streets become muddy in the rains.,पावसामुळे रस्त्यांची चाळण झालेली दिसते.
The same is the case with Dravid.,द्रविडचाही मुद्दा तसाच आहे.
But its unclear how much of an impact this will have.,पण त्याचा काही परिणाम होईल का हे सांगता येणार नाही.
And we think so.,आणि आपण तसे करतोही.
"Along with this, Sarla Murmu, the declared candidate of Habibpur by TMC, has also joined BJP.",मालदा जिल्ह्यातील हबीबपूरमधील टीएमसीचे माजी उमेदवार सरला मुर्मु यांनीही भाजपमध्ये प्रवेश केला आहे.
Former Indian captain Sunil Gavaskar has made a concerning statement on the international future of MS Dhoni.,महेंद्रसिंह धोनीच्या निवृत्तीविषयी होणाऱ्या चर्चांवर भारताचे माजी कर्णधार सुनिल गावसकर यांनी मोठं विधान केलं आहे.
Its capital is the city of Riyadh.,त्याच्या राजधानीचं शहर आहे दोहा.
But it is no small problem.,मात्र ती मोठी समस्या नाही.
And then it went off!,त्यानंतर तेही बाद झालं!
But I’m going to go even further.,मात्र यामुळं मी पुढेही जाते.
And here’s how we can achieve that.,आणि आपण ती कशी साध्य करायची?
“The chief minister in Maharashtra will be from the Shiv Sena.,“महाराष्ट्राचा मुख्यमंत्री शिवसेनेचा आहे.
But I applaud his bravery.,परंतु तुमच्या शौर्याला मी दाद देतो.
"AIADMK spokesperson and state joint secretary of the legal wing, RM Babu Murugavel said, ”we have got nothing to with her comments.”","यावर अद्रमूकचे प्रवक्ते आणि पक्षाच्या कायदा समितीचे प्रदेश सह-सचिव आर. एम. बाबू मुरुगवेल म्हणाले की, त्यांच्या टिप्पणीशी आमचे काहीही देणे-घेणे नाही."
Was there any problem with the report?,", तक्रार नोंदवताना काही अडचणी आल्या का?"
Because he’s going to college.,कारण ती विद्यापीठात शिकायला गेलेली.
"After the Pulwama attack by Pakistani terrorist group Jaish-E-Mohammed, India responded with air strikes in Balakot.",जैश-ए-मोहम्मदकडून पुलवामा येथे दहशतवादी हल्ला करण्यात आल्यानंतर भारताने प्रत्युत्तर देत एअर स्ट्राइक केला होता.
How and where to vote,किती ठिकाणी होणार मतदान आणि मतमोजणी
Daily exercising and eating healthy is going to keep their mind and body healthy.,हातापायांना रोजच्या व्यायामाची सवय राहिल्यामुळे शरीर आणि मन निरोगी राहतं.
We feature here a few of them.,त्यापैकी काही माहिती येथे देत आहोत.
"Juhi Chawla and her husband Jay Mehta have a stunning, multi-storey family home in Mumbai's Malabar Hill.",मुंबईतील मलबार हिल या उच्चभ्रू वस्तीमध्ये जुही आणि तिचे पती जय मेहता यांचं आलिशान आणि प्रशस्त घर आहे.
But it is worth far more than that.,मात्र त्याचे मूल्य जास्त असते.
"Mumbai Police Commissioner Param Bir Singh has been apprised of the incident and the police is investigating, Parab said.",मुंबई पोलीस आयुक्त परम बीर सिंग यांनी पत्रकार परिषद घेत याविषयीची माहिती दिली.
A case has also been filed against them.,त्यांच्याविरोधातही स्वतंत्र गुन्हा दाखल करण्यात आला आहे.
People have responded in different ways.,यावर लोकांनी विविध प्रतिक्रिया सुद्धा दिल्या आहेत.
"“Anyone who would ask me, ‘What do you want to be when you grow up?’","ती म्हणाली, ''जेव्हा कोणी मला विचारयचं की तू मोठी झाल्यावर तुला काय करायचं आहे?"
HC asks Maharashtra govt,HCचा महाराष्ट्र सरकारला सवाल
A username is applicable for only one device.,यात एका अकाउंटने केवळ एकच डिव्हाइस वापरू शकता.
blade or stick of plastic for mixing;,मिक्सिंगसाठी प्लास्टिकची ब्लेड किंवा स्टिक;
But he had never believed in such a thing.,मात्र असल्या गोष्टींवर आबांचा कधीही विश्वास नव्हता.
"Shoaib Malik replaced top-order batsman Sohaib Maqsood, who was ruled out due to a back problem.",पाठीच्या दुखापतीतून सावरण्यात अपयशी ठरलेल्या सोहेब मकसूदच्या जागी शोएब मलिकचा समावेश करण्यात आला आहे.
Irfan was an asset to our film industry.,आपल्या चित्रपटसृष्टीसाठी इरफान संपत्ती होते.
Mumbai Indians defeated Delhi Capitals.,दिल्ली कॅपिटल्सने मुंबई इंडियन्सवर शानदार विजय मिळवला.
"Best part, the app is free for download.",सर्वात चांगली गोष्ट म्हणजे हे ॲप विनामूल्य उपलब्ध आहे.
Business will go as it is.,व्यापारात जसे तसे काम चालेल.
The report of the CAG is examined by the PAC.,कॅगने दिलेला अहवाल लोकलेखा समितीद्वारे (PAC) तपासला जात असतो.
"Qatar, Kuwait, Saudi Arabia, Bahrain, and the Maldives are the five nations competing in the event.","यात बहरीन, कुवैत, मालदीव, कतार आणि सैदी अरेबिया या देशांचे संघ होते."
At this point the matter is under review.,सध्या हे प्रकरण तपासात आहे.
Sardar Singh to lead India in Champions Trophy hockey,भारतीय हॉकी संघाचे नेतृत्व सरदार सिंगकडे
Could I get them out?,त्यांना आपण बाहेर काढू शकलो आहोत का?
But actually it was far beyond my expectation!,पण झालं ते तिच्या अपेक्षेपेक्षा भलतच!
"At this point, a little clarification is needed.",येथे थोडे स्पष्टीकरण गरजेचे आहे.
After that everything would be easy.’,"त्यानंतर, सर्वकाही सोपे होईल."
And what freedom it is!,काय विचार स्वातंत्र्य आहे!
She is currently undergoing treatment at JJ Hospital.,सध्या वरवरा राव यांच्यावर जेजे रुग्णालयात उपचार सुरु आहेत.
Teaching a child to ride,मुलांना सायकल चालवायला शिकवू
The song has been directed by Anubhav.,या गाण्याचे दिग्दर्शन अनुपम बर्वे यांनी केले आहे.
Police have filed a murder case.,पोलिसांनी खुनाचा गुन्हा दाखल केला आहे.
The injured people have been admitted to a private hospital.,जखमी महिलांना खासगी रुग्णालयात दाखल करण्यात आले आहे.
You need to know about this.,याविषयीची माहिती जाणून घेतली पाहिजे.
This is the same.,हा असाच चेडा आहे.
They are very brave and smart.,हे लोक मोठे शूर व उदार आहेत.
"The assistant commissioner of police Nishikant Bhujbal, police inspector Dilip Gangurde, assistant inspector S K Khatane, PSI (crime branch) Amol Maske, Rajendra Salunke, Ravi Kharat, Nana Patare and Vijay Nikam also reached the spot for inspection.","पाटील, तहसिलदार ए. बी. गवांदे, पोलिस निरीक्षक लिलाधर कानडे, नायब तहसीलदार पंकज पाटील, सहाय्यक निरीक्षक सुदर्शन दातीर, उपसरपंच समीर पाटील, नाभिक समाजाचे जिल्हाअध्यक्ष एकनाथ शिरसाठ, आधार पाटील, मनोराज पाटील, नंदकुमार पाटील, देवगाव पोलिस पाटील विश्वास शिंदे यांच्यासह जिल्हा व तालुक्यातील सर्व विभागाचे अधिकारी, कर्मचारी मोठ्या संख्येने उपस्थित होते."
Congratulations on a well played game!,चमकदार खेळासाठी त्याला शुभेच्छा!
And do you really need it?,आणि त्याची खरंच गरज आहे का?
Enter the registered mobile number or your LPG ID,-त्यानंतर रजिस्टर्ड मोबाईल क्रमांक किंवा आपला LPG ID टाका.
The case is still pending in an Ahmedabad court.,या प्रकरणाची सुनावणी अद्याप अहमदाबादच्या सत्र न्यायालयात सुरू आहे.
There was pressure on us.,आमच्यावरही दबाव आला.
Could you tell us what this book is about?,ह्या पुस्तकाविषयी काय सांगायच?
"According to the police, two people who were there at the time of the incident have been arrested.","पोलिसांच्या माहितीनुसार, या प्रकारानंतर दोन जणांना अटक केली आहे."
The film based on boxing.,हा चित्रपट बॉक्सिंगवर आधारित आहे.
A counsellor can help.,समुपदेशक यासाठी सहाय्य करु शकतील.
"His name means ""eyes"".","याचा अर्थ ""डोळा"" असा होतो."
This is due to the special therapeutic effect of the blue spectrum rays on the processes taking place in the human body.,हे मानवी शरीरात होत असलेल्या प्रक्रियेच्या निळा स्पेक्ट्रम किरणांच्या विशेष उपचाराचा परिणाम आहे.
A reader’s perspective,एका वाचकाच्या दृष्टीकोनातून
"Accordingly, their suit was dismissed.",त्यानुसार त्यांचा अर्ज बाद ठरवला गेला.
Because they can't read.,कारण त्या वाचण्यायोग्य नसतात.
The farmers incurred crop losses to the tune of crores of rupees.,भाव गडगडल्याने शेतकऱ्यांना लाखो रुपयांचा तोटा सहन करावा लागला होता.
It has strengthen the party.,त्याने हा पक्ष बळकट केला.
Apply this paste on your face with rose water.,हा लेप गुलाब पाण्यात मिसळून याचा लेप चेहऱ्यावर लावावा.
And it ainât that expensive.,आणि तो खूप महाग नाही.
Narendra Modi-led Bharatiya Janata Party (BJP) has swept the Lok Sabha elections.,यंदाच्या लोकसभा निवडणुकीत पंतप्रधान नरेंद्र मोदींच्या नेतृत्वाखालील भारतीय जनता पक्षाने दणदणीत विजय मिळवला.
But I think I’m getting better with that.,"पण मला वाटतं, की हे चांगलंच आहे."
After sightseeing come back to hotel.,भटकून दमल्यावर हॉटेलमध्ये परततात.
Age limit for NTPC Recruitment: The upper age limit for the General and EWS category is 27 as of the last date of application.,NTPC भरतीसाठी अर्ज करण्यासाठी जनरल आणि ईडब्ल्यूएस प्रवर्गासाठी अर्ज केलेल्या उमेदवारांचे कमाल वय २७ आहे.
"Not only that,","एवढेंच नव्हे तर, उळट"
Raj Kundra is currently in jail .,सध्या राज कुंद्राला आर्थर रोड तुरुंगात ठेवण्यात आलं आहे.
And we can see that here.,आणी त्याच आपण येथे जाणून घेणार आहोत.
But I can’t let you do that.,पण मी ते करु देत नाही.
No other state put out such information.,अन्य राज्यांनी अशा प्रकारची माहिती दिलेली नाही.
And then it all started to dissipate.,आणि मग सगळंच हुकायला लागलं.
She shared two photographs on Twitter.,सेहवागनं त्याच्या ट्विटर अकाऊंटवर दोन फोटो शेअर केले आहेत.
Because it is so entertaining.,कारण तसे खुपच मजेशीर आहे.
Along with actor wife Supriya Pathak were present the lead pair of the movie Shahid Kapur and Sonam Kapoor.,रणवीरसोबतच या चित्रपटामध्ये अभिनेता शाहिद कपूर आणि अभिनेत्री दीपिका पदुकोणसुद्धा स्क्रिन शेअर करणार आहेत.
“Corona cases are rising in the state.,राज्यात कोरोननाचा प्रादुर्भाव वाढताना दिसत आहे.
India-Australia ties have always been close.,पूर्वी ऑस्ट्रेलिया आणि भारत यांचे संबंध फार जवळचे नव्हते.
But is this of any use?,पण आहे का काही उपयोग?
Sign up with Amazon Pay and get cashback of INR 1000.,"या व्यतिरिक्त, तुम्हाला अमेझॉन पे सह साइनअप आणि पेमेंट वर 1000 रुपये कॅशबॅक मिळेल."
"""Whenever the history of Indian Cinema will be written, it shall always be 'before Dilip Kumar, and after Dilip Kumar' . .","'जेव्हा भारतीय सिनेमाचा इतिहास लिहिला जाईल, तेव्हा तो ‘दिलीप कुमार यांच्या आधी आणि दिलीपकुमार यांच्यानंतर' असा लिहिला जाईल."
- We want to move Hyderabad from Dynasty to democracy.,हैदराबादला राजवंशातून लोकशाहीकडे हलवायचे आहे.
