English,Malayalam
please put to my calendar daily stand-up to ten am,ദിവസവും രാവിലെ പത്തുമണി വരെ നിൽക്കുക എന്ന് എൻ്റെ കലണ്ടറിൽ ചേർക്കുക
where on earth has the most volcanoes,ലോകത്തിലെ ഏറ്റവും കൂടുതൽ അഗ്നിപർവ്വതം ഉള്ള സ്ഥലം എവിടെയാണ്
play the celine dion song from the titanic movie,മാലിക് ഇലെ തീരമേ പ്ലേ ചെയ്യുക
play for me jazz music,എനിക്കായി ജാസ് സംഗീതം പ്ലേ ചെയ്യൂ
input a meeting with jack for tuesday,ചൊവ്വാഴ്ച സൂരജുമായി ഒരു യോഗം ചേർക്കുക
is today's date the ninth,ഇന്നത്തെ തീയതി ഒമ്പതാം തീയതിയാണ്
what is scheduled for today,ഇന്ന് എന്താണ് ഷെഡ്യൂൾ ചെയ്തിരിക്കുന്നത്
a quarter to two,കാൽ മുതൽ രണ്ട് വരെ
how is the stock going in general,സാധാരണയായി ഓഹരി എങ്ങനെ പോകുന്നു
send a reply email thank you very much to john at gmail dot com,വളരെ നന്ദി എന്നു പറഞ്ഞ് ജോൺ അറ്റ് ജിമെയിൽ ഡോട്ട് കോമിലേക്ക് ഒരു മറുപടി ഇമെയില്‍ അയയ്‌ക്കുക
open fifa seventeen,ഓപ്പൺ ഫിഫ പതിനേഴ്
i need the definition of the new l. g. washing machine,എനിക്ക് പുതിയ എൽ. ജി. വാഷിംഗ് മെഷീനിന്റെ നിര് വചനം വേണം
turn off bedroom lights in ten seconds,പത്ത് സെക്കൻഡിനുള്ളിൽ കിടപ്പുമുറിയിലെ ലൈറ്റുകൾ ഓഫ് ചെയ്യുക
weather like,കാലാവസ്ഥ എങ്ങനെയുള്ളത്
i don't need the lights,എനിക്ക് വെളിച്ചം വേണ്ട
play party songs,ആഘോഷ ഗാനങ്ങൾ പ്ലേ ചെയ്യുക
delete all events and information,എല്ലാ പരിപാടികളും വിവരങ്ങളും ഇല്ലാതാക്കുക
add event baseball practice five p. m. tonight,വൈകുന്നേരം അഞ്ച് മണിക്ക് ബേസ്ബോൾ പരിശീലനം എന്ന ഇവൻ്റ് ചേർക്കുക
i need to add baseball practice on saturday at two p. m.,ബേസ്ബോൾ പരിശീലനം ശനിയാഴ്ച ഉച്ചയ്ക്ക് രണ്ട് മണിക്ക്
who is the most popular american actress,ആരാണ് ഏറ്റവും ജനപ്രിയമായ അമേരിക്കൻ നടി
please add an email for john doe to my contacts johndoe at yahoo dot com,ജിതിൻദാസ് അറ്റ് യാഹൂ ഡോട്ട്കോമിലെ എൻ്റെ കോൺടാക്‌റ്റുകളിലേക്ക് ജിതിൻ ദാസിനായി ഒരു ഇമെയിൽ ചേർക്കുക
i want to go to bank of america give me directions,എനിക്ക് ബാങ്ക് ഓഫ് അമേരിക്കയിലേക്ക് പോകണം എനിക്ക് ദിശകൾ തരൂ
olly cancel alarm,ഒല്ലി അലാറം റദ്ദാക്കുക
call a taxi,ഒരു ടാക്സി വിളിക്കുക
is it storming right now,അത് ഇപ്പോൾ കൊടുങ്കാറ്റാണോ
where is the acme meeting being held on friday,വെള്ളിയാഴ്ച എവിടെയാണ് അയല്‍കൂട്ടം യോഗം നടക്കുന്നത്
olly has amy sent me any new emails,ഒല്ലി അമ്മു എനിക്ക് ഏതെങ്കിലും പുതിയ ഇമെയിലുകൾ അയച്ചിട്ടുണ്ടോ
have i received any emails since noon,ഉച്ചയ്ക്ക് ശേഷം എനിക്ക് ഏതെങ്കിലും ഇമെയിലുകൾ ലഭിച്ചിട്ടുണ്ടോ
remove mike stein from contacts list,കോൺടാക്റ്റ് ലിസ്റ്റിൽ നിന്ന് മാധവൻ തമ്പിയെ നീക്കം ചെയ്യുക
set a reminder alert for saturday nine am towards payment of electricity bill,വൈദ്യുതി ബിൽ അടയ്ക്കുന്നതിന് ശനിയാഴ്ച രാവിലെ ഒമ്പതിന് റിമൈൻഡർ അലേർട്ട് സജ്ജമാക്കുക
for every odd numbered sunday set a reminder for,ഒറ്റ അക്കമുള്ള എല്ലാ ഞായറാഴ്ചയ്ക്കും ഒരു ഓർമ്മപ്പെടുത്തൽ സജ്ജമാക്കുക
add podcast favorites to playlist and start,പ്ലേലിസ്റ്റിലേക്ക് പോഡ്‌കാസ്റ്റിലെ പ്രിയപ്പെട്ടവ ചേർത്ത് ആരംഭിക്കുക
i will need warm socks in winter in morning,രാവിലെ മഞ്ഞ്കാലം ത്തു warm socks എനിക്ക് വേണം
clear my activities list for today,ഇന്നത്തെ എൻ്റെ പ്രവർത്തനങ്ങളുടെ പട്ടിക മായ്‌ക്കുക
security awareness,സുരക്ഷാ അവബോധം
is my calendar free for four p. m. today,എന്‍റെ കലണ്ടര്‍ ഇന്ന് നാലു മണിക്ക് ഒഴിവാണോ
how do i,ഞാൻ എങ്ങനെ
where does this friend live,ഈ സുഹൃത്ത് എവിടെയാണ് താമസിക്കുന്നത്
comfort my ears with arijit singh,യേശുദാസിനെ കൊണ്ട് എന്റെ കാതുകൾ ആനന്ദിപ്പിക്കുക
should i wear shorts today,ഞാൻ ഇന്ന് ഷോർട്ട്സ് ധരിക്കണോ
remove twenty fourth march meeting from schedule,മാർച്ച് ഇരുപത്തിനാലാം തീയതിയിലെ യോഗം ഷെഡ്യൂളിൽ നിന്ന് നീക്കം ചെയ്യുക
reduce the brightness,പ്രകാശം കുറയ്ക്കുക
tell me the time in g. m. t. plus five,ജി. എം. ടി. പ്ലസ് അഞ്ചിലെ സമയം പറയൂ
place family phone on instagram,കുടുംബ ഫോൺ ഇൻസ്റ്റാഗ്രാമിൽ സ്ഥാപിക്കുക
tell me about narendra modi,നരേന്ദ്ര മോദിയെ കുറിച്ച് പറയൂ
color of light should be dimmed bright,ലൈറ്റിൻ്റെ നിറം മങ്ങിയതായിരിക്കണം
am i on vacation this week,ഞാൻ ഈ ആഴ്ച അവധിയിൽ ആണോ
can you let delta know i'm never using them again,ഞാൻ അവ ഇനി ഒരിക്കലും ഉപയോഗിക്കില്ലെന്ന് ലാമയെ അറിയിക്കാമോ
let me know as soon as there is more news on brexit,ബ്രെക്‌സിറ്റിനെക്കുറിച്ച് കൂടുതൽ വാർത്തകൾ വന്നാൽ ഉടൻ എന്നെ അറിയിക്കൂ
email my boss that i will be late today because of an emergency and apologize to him for missing the meeting,അടിയന്തിരാവസ്ഥ കാരണം ഞാൻ ഇന്ന് വൈകും കൂടിക്കാഴ്ച നഷ്ടപ്പെട്ടതിന് അദ്ദേഹത്തോട് ക്ഷമ ചോദിക്കുന്നുവെന്ന് എന്റെ മേലധികാരിക്ക് ഇമെയിൽ ചെയ്യുക
remind me after an hour to go for shopping,ഒരു മണിക്കൂറിന് ശേഷം ഷോപ്പിംഗിന് പോകാൻ എന്നെ ഓർമ്മിപ്പിക്കുക
alexa play my favorites,alexa എൻ്റെ പ്രിയപ്പെട്ടവ പ്ലേ ചെയ്യൂ
tune into the nearest english f. m. station,ഏറ്റവും അടുത്തുള്ള മലയാളം എഫ്എം സ്റ്റേഷനിലേക്ക് ട്യൂൺ ചെയ്യുക
hey what are you up to,ഹേയ് നിങ്ങൾ എന്താണ് ചെയ്യുന്നത്
please lower the lights a little bit,ദയവായി ലൈറ്റുകൾ അൽപ്പം താഴ്ത്തുക
delete all,എല്ലാം ഒഴിവാക്കുക
what is traffic to work now,ജോലിസ്ഥലത്തേക്കുള്ള ഇപ്പോഴത്തെ ട്രാഫിക് എങ്ങനെയുണ്ട്
start making a coffee,കാപ്പി ഉണ്ടാക്കാൻ തുടങ്ങുക
remove my shopping list,എൻ്റെ വാങ്ങേണ്ട സാധനങ്ങളുടെ പട്ടിക നീക്കം ചെയ്യുക
can you check to see if i have any recent email alerts,എനിക്ക് അടുത്തിടെ ഏതെങ്കിലും ഇമെയിൽ അറിയിപ്പുകള്‍ ഉണ്ടോ എന്ന് നിങ്ങൾക്ക് പരിശോധിക്കാമോ
which restaurant is there in shivaji nagar,കാസര്‍ഗോഡ് ഉള്ള ഭക്ഷണശാല ഏതാണ്
can you play my music file,എന്‍റെ പാട്ട് ഫയല്‍ പ്ലേ ചെയ്യാമോ
how is the traffic,ഗതാഗതം എങ്ങനെയുണ്ട്
olly radio on,olly റേഡിയോ ഓണാക്കുക
i need the most recent stories from yahoo news,എനിക്ക് യാഹൂ വാർത്തകളിൽ നിന്നുള്ള ഏറ്റവും പുതിയ വാർത്തകൾ ആവശ്യമാണ്
tell interesting news,രസകരമായ വാർത്തകൾ പറയുക
please save the current song to favorites,ഈ പാട്ട് എന്‍റെ പ്രിയപ്പെട്ടവയില്‍ ചേര്‍ക്കുക
siri how is the weather outside,siri പുറത്ത് കാലാവസ്ഥ എങ്ങനെയുണ്ട്
how much money in us would i need to have a thousand pesos,ആയിരം ഇന്ത്യൻ രൂപ കിട്ടാൻ എത്ര യു എസ് ഡോളർ വേണം
is warren buffet is investing in my listed stocks,മുകേഷ് അംബാനി എന്റെ ലിസ്റ്റ് ചെയ്ത ഓഹരികളിൽ നിക്ഷേപിക്കുന്നു
check wikipedia for a definition of the word homosapien,ഹോമോസാപ്പിയന്‍ എന്ന വാക്കിന്റെ വ്യാഖ്യാനം വിക്കിപീഡിയ നോക്കുക
what is donald trump's new policy on immigration,എന്താണ് ഡൊണാൾഡ് ട്രംപിൻ്റെ കുടിയേറ്റ നയം
set alarm reminder for calendar,കലണ്ടറില്‍ അലാറം ഓര്‍മ്മപ്പെടുത്തല്‍ വയ്ക്കുക
where is pategonia,രാംരാജ് എവിടെയാണ്
send a tweet to walmart customer service your return policy stinks,റിലയൻസ് കസ്റ്റമർ സർവീസിലേക്ക് ഒരു ട്വീറ്റ് അയയ്‌ക്കുക നിങ്ങളുടെ റിട്ടേൺ പോളിസി ദുർഗന്ധം വമിക്കുന്നു
has john sent me an email,ജോണി എനിക്ക് ഇമെയില്‍ അയച്ചോ
play hotel california after this song,ഈ പാട്ടിന് ശേഷം ഹരിമുരളീരവം പ്ലേ ചെയ്യുക
find my thai takeaways around grassmarket,ഗ്രാസ്മാർക്കറ്റിന് ചുറ്റുമുള്ള എൻ്റെ തായ് ടേക്ക്അവേകൾ കണ്ടെത്തൂ
explain to me how gravity works,ഗുരുത്വാകർഷണം എങ്ങനെ പ്രവർത്തിക്കുന്നുവെന്ന് എന്നോട് വിശദീകരിക്കുക
if i call mike in california at six p. m. what will his time be,വൈകുന്നേരം ആറ് മണിക്ക് കാലിഫോർണിയയിൽ ഞാൻ മൈക്ക് വിളിച്ചാൽ അവന്റെ സമയം എന്തായിരിക്കും
turn off smart socket,സ്മാര്‍ട്ട് സോക്കെട്ട് ഓഫ് ആക്കുക
play david bowie playlist,കേൾക്കേണ്ട പട്ടികയിൽ നിന്ന് ഫ്രാങ്കോയുടെ പാട്ട് വെക്കുക
what time am i supposed to pick up john again,എപ്പോഴാണ് ഞാൻ അബിൻ കൂട്ടികൊണ്ടുവരേണ്ടത്
olly what else do i have on the list,olly പട്ടികയിൽ എനിക്ക് മറ്റെന്താണ് ഉള്ളത്
play this radio channel for me,ഈ ടിവി ചാനൽ എനിക്ക് വേണ്ടി പ്ലേ ചെയ്യുക
begin radio play,റേഡിയോ പ്ലേ ആരംഭിക്കുക
can you delete the next event,നിങ്ങൾക്ക് അടുത്ത പരിപാടി ഇല്ലാതാക്കാൻ കഴിയുമോ
switch lights to red tone,ലൈറ്റുകള്‍ ചുവപ്പ് ടോണിലേക്ക് മാറ്റുക
play a jazz music,ഒരു ജാസ് സംഗീതം പ്ലേ ചെയ്യുക
please play workout playlist,ദയവായി നിലവിൽ പ്ലേ ലിസ്റ്റ് പ്ലേ ചെയ്യുക
resume audio playback of twilight,ഇന്ദുലേഖ ഓഡിയോ പുനരാരംഭിക്കുക
add a lot of james taylor joni mitchell and cat stevens to the playlist,ഷാൻ റഹ്മാൻ ജി വി പ്രകാശ് ഗിരീഷ് പുത്തഞ്ചേരി എന്നിവരുടെ പാട്ടുകൾ പ്ലേയ്‌ലിസ്റിൽ ചേർക്കുക
how are stocks for google,ഗൂഗിള്‍ സ്റ്റോക്ക് എങ്ങനെയാണ്
please turn on one of the preprogrammed stations,ദയവായി മുൻകൂട്ടി പ്രോഗ്രാം ചെയ്ത സ്റ്റേഷനുകളിൽ ഒന്ന് ഓണാക്കുക
what day of the month is next tuesday,അടുത്ത ചൊവ്വാഴ്ച മാസത്തിലെ ഏത് ദിവസമാണ്
did the price of walmart stock go up or down,വാല്‍മാര്‍ട് സ്റ്റോക്ക് വില മുകളിലോട്ടാണോ താഴോട്ട് ആണോ
open all mails from steffi,സീതയുടെ എല്ലാ മെയിലുകളും തുറക്കുക
what to do next on events,ഇവൻ്റുകളിൽ അടുത്തതായി എന്തുചെയ്യണം
i just added bob's news anything new there,ഞാൻ ബോബിൻ്റെ വാർത്തകൾ അവിടെ പുതുതായി ചേർത്തു
reply email,മറുപടി ഇമെയില്‍
please delete my next calendar event,ദയവായി എൻ്റെ അടുത്ത കലണ്ടർ പരിപാടി ഒഴിവാക്കുക
store my contacts,എൻ്റെ കോൺടാക്റ്റുകൾ സംഭരിക്കുക
audio,ഓഡിയോ
meeting next week monday,അടുത്ത ആഴ്ച തിങ്കളാഴ്ച യോഗം
olly search events and meetups for central park west,ഒല്ലി മാനാഞ്ചിറ മൈതാനത്ത് ചേരുന്ന കൂടിക്കാഴ്ചകളും പരിപാടികളും സെർച്ച് ചെയ്യുക
is it going to rain on monday,തിങ്കളാഴ്ച്ച മഴ പെയ്യുമോ
please email to my wife about next week weather,അടുത്ത ആഴ്ചയിലെ കാലാവസ്ഥയെക്കുറിച്ച് എൻ്റെ ഭാര്യക്ക് ഇമെയിൽ ചെയ്യുക
resume the playback of zanes southeast chronicles,ചാണക്യ നീതിയുടെ പ്ലേബാക്ക് പുനരാരംഭിക്കുക
repeat daily,ദിവസേന അവര്‍ത്തിക്കുക
start new smart socket,പുതിയ സ്മാർട്ട് സോക്കറ്റ് പ്രവർത്തിപ്പിച്ച് തുടങ്ങുക
what time is it in the other time zones,മറ്റ് സമയ മേഖലകളിൽ സമയം എത്രയാണ്
current time in,നിലവിലെ സമയം
select the item,ഇനം തിരഞ്ഞെടുക്കുക
what is this week's weather forecast,ഈ ആഴ്ചയിലെ കാലാവസ്ഥാ പ്രവചനം എന്താണ്
should i carry an umbrella with me today,ഇന്ന് ഞാൻ ഒരു കുട കൂടെ കൊണ്ടുപോകണോ
tell me about alarms,അലാറങ്ങളെക്കുറിച്ച് എന്നോട് പറയൂ
wipe calendar clean,കലണ്ടർ മുഴുവൻ മായ്ക്കുക
where was keith urban born,കിരണ്‍ എവിടെയാണ് ജനിച്ചത്
how many bases has nick swisher stolen in his career,നിക്ക് സ്വിഷർ തന്റെ കരിയറിൽ എത്ര ബേസ് മോഷ്ടിച്ചു
i find rap music really enjoyable,റാപ്പ് സംഗീതം ശരിക്കും ആസ്വാദ്യകരമാണെന്ന് ഞാൻ കാണുന്നു
i need to know about the height of mount everest,എവറസ്റ്റിന്റെ ഉയരത്തെക്കുറിച്ച് എനിക്കറിയണം
what day is it on fifth december,ഡിസംബർ അഞ്ചാം തീയതി ഏത് ദിവസമാണ്
is it sunny today,ഇന്ന് വെയിലുള്ള കാലാവസ്ഥ ആണോ
olly remind me about the picnic at regent park,സരോവരം പാർക്കിലെ പിക്നിക്കിനെക്കുറിച്ച് എന്നെ ഓർമ്മിപ്പിക്കുക
hey what will the weather be like to today in los angeles california,കേരളത്തിലെ തിരുവനന്തപുരത്ത് ഇന്നത്തെ കാലാവസ്ഥ എങ്ങനെയായിരിക്കും
can you play my last song,എന്‍റെ അവസാന പാട്ട് പ്ലേ ചെയ്യാമോ
can you recommend a cheap restaurant in this area,ഈ ഈ പ്രദേശത്ത് വിലക്കുറവിൻ്റെ ഭക്ഷണശാല ശുപാർശ ചെയ്യാൻ കഴിയുമോ നിങ്ങൾക്ക്
turn off lights of kitchen,അടുക്കളയിലെ ലൈറ്റുകൾ അണക്കു
wish all my friends of facebook good morning,എൻ്റെ എല്ലാ സുഹൃത്തുക്കൾക്കും നല്ലൊരു പ്രഭാതം ഫേസ്ബുക്കിൽ നേരുക
what train companies are near me,എന്‍റെ അടുത്തുള്ള ട്രെയിൻ കമ്പനികൾ എന്തൊക്കെയാണ്
please remove the first list,ദയവായി ആദ്യത്തെ പട്ടിക നീക്കം ചെയ്യുക
when is my next appointment,എൻ്റെ അടുത്ത അപ്പോയിൻമെൻ്റ് എപ്പോഴാണ്
what happened yesterday on samurai jack,ഇന്നലെ സമുറായി ജാക്കിൽ എന്താണ് സംഭവിച്ചത്
what is a sloth,അലസത എന്നാൽ എന്താണ്
check to see if i have any new emails from my dad,എനിക്ക് എൻ്റെ അച്ഛനിൽ നിന്ന് എന്തെങ്കിലും പുതിയ ഇമെയിലുകൾ ഉണ്ടോ എന്ന് പരിശോധിക്കുക
please send an email to toms principal in regards to the meeting we have tomorrow,നാളെ നടക്കുന്ന കൂടിക്കാഴ്ചയുമായി ബന്ധപ്പെട്ട് അര്‍ജുന് ഒരു ഇമെയില്‍ അയയ്ക്കുക
olly make my usual,ഓളി എൻ്റെ പതിവ് ആക്കുക
find me a chocolate cake recipe,എനിക്ക് ഒരു ചോക്ലേറ്റ് കേക്ക് പാചകക്കുറിപ്പ് കണ്ടെത്തൂ
email my appointments to reschedule,വീണ്ടും ഷെഡ്യൂൾ ചെയ്യാൻ എൻ്റെ അപ്പോയിൻമെൻ്റുകൾ ഇമെയിൽ ചെയ്യുക
give me to do list,ചെയ്യാനുള്ള ലിസ്റ്റ് എനിക് തെരു
play kiss from a rose,ഉയിരിൽ തൊടും വെക്കുക
is the birthday event on fifteenth of this month true,ഈ മാസം പതിനഞ്ചിനുള്ള ജന്മദിന പരിപാടി ശരിയാണോ
how did michael jackson die,കലാമണ്ഡലം കൃഷ്ണൻ നായർ എങ്ങനെയാണ് മരിച്ചത്
how much rate will be calculated,എത്ര നിരക്ക് കണക്കാക്കും
what is terranova stock going for,ടാറ്റ സ്റ്റോക്ക് എന്തിനുവേണ്ടിയാണ് പോകുന്നത്
cancels lunch at the restaurant booked for march twenty five,മാർച്ച് ഇരുപത്തിയഞ്ചിന് ബുക്ക് ചെയ്ത ഭക്ഷണശാലയിലെ ഉച്ചഭക്ഷണം റദ്ദാക്കുന്നു
play a movie i'll like,എനിക്ക് ഇഷ്ടപ്പെടുന്ന ഒരു ചലച്ചിത്രം കളിക്കൂ
turn lights in the room off,മുറിയിലെ ലൈറ്റുകൾ ഓഫ് ആക്കുക
could you please display the videos for cooking italian food,ഇന്ത്യൻ ഭക്ഷണം പാകം ചെയ്യുന്ന വീഡിയോകൾ കാണിക്കുക
book a train for twenty two march at twelve p. m.,ഇരുപത്തിരണ്ട് മാർച്ച് ഉച്ചക്ക് പന്ത്രണ്ടിന് ഒരു തീവണ്ടി ബുക്ക് ചെയ്യുക
please tell me the news headlines,വാർത്തയുടെ തലക്കെട്ടുകൾ ദയവായി എന്നോട് പറയൂ
what is mr. taxi's phone number it is in my contacts,എന്താണ് കേരള ടാക്സിയുടെ ഫോൺ നമ്പർ അത് എൻ്റെ കോൺടാക്റ്റുകളിലുണ്ട്
when is president's day,എപ്പോഴാണ് രാഷ്ട്രപതി ദിനം
add to calendar an medical appointment for the first day of the next five months,അടുത്ത അഞ്ച് മാസത്തെ ആദ്യ ദിവസം ഒരു മെഡിക്കൽ അപ്പോയിന്‍റ്‌മെന്‍റ് കലണ്ടറിലേക്ക് ചേർക്കുക
add a meeting with francine for two p. m. tomorrow,നാളെ രണ്ട് പി എം നു ഫ്രാൻസിൻ ആയുള്ള യോഗം ചേര്‍ക്കുക
play next episode of her story,സല്ലാപം അടുത്ത അധ്യായം പ്ലേ ചെയ്യുക
comcast sucks put that on their twitter account,കോംകാസ്റ്റ് സക്സ് അത് അവരുടെ ട്വിറ്റർ അക്കൗണ്ടിൽ ഇട്ടു
can i know what's the time now,ഇപ്പോൾ സമയം എന്താണെന്ന് എനിക്ക് അറിയാമോ
play game with me,എന്നോടൊപ്പം ഗെയിം കളിക്കൂ
tell me the song track,പാട്ടിന്റെ ട്രാക്ക് എന്നോട് പറയൂ
song identifier,പാട്ട് ഐഡൻ്റിഫയർ
let us play millionaires,നമ്മുക്ക് കോടീശ്വരന്‍ കളിച്ചാലോ
show me painting exhibition in bay area,കടൽത്തീര പ്രദേശത്തെ ചിത്ര പ്രദർശനം എന്നെ കാണിക്കൂ
current news,നിലവിലെ വാർത്തകൾ
show me my latest social media activity,എന്‍റെ ഏറ്റവും പുതിയ സോഷ്യൽ മീഡിയ പ്രവര്‍ത്തികള്‍ എന്നെ കാണിക്കൂ
notify me about the event in my calendar,എൻ്റെ കലണ്ടറിലെ ഇവൻ്റിനെക്കുറിച്ച് എന്നെ അറിയിക്കുക
it's depend pon the seen,അത് ദൃശ്യത്തെ ആശ്രയിച്ചിരിക്കുന്നു
will the temperature be higher than forty tomorrow,നാളെ താപനില നാല്‍പതിനെക്കാള്‍ കൂടുതല്‍ ആകുമോ
have i received new emails in the last ten minutes,കഴിഞ്ഞ പത്ത് മിനിറ്റിനുള്ളിൽ എനിക്ക് പുതിയ ഇമെയിലുകൾ ലഭിച്ചിട്ടുണ്ടോ
please set an alarm clock for my next meeting with the team at three p. m. next friday,അടുത്ത വെള്ളിയാഴ്ച വൈകുന്നേരം മൂന്ന് മണിക്ക് ടീമുമായുള്ള എന്റെ അടുത്ത മീറ്റിംഗിനായി ദയവായി ഒരു അലാറം സജ്ജമാക്കുക
please confirm the weather for the thirteenth of this month,ദയവായി ഈ മാസം പതിമൂന്നാം തീയതിയിലെ കാലാവസ്ഥ സ്ഥിരീകരിക്കുക
dolores how was your day,ഡോളോറസ് നിങ്ങളുടെ ദിവസം എങ്ങനെയായിരുന്നു
what is the current temperature,നിലവിലെ താപനില എന്താണ്
who sings this,ഇതാരാണ് പാടിയത്
what is the meaning of life,ജീവിതത്തിന്റെ അർത്ഥം എന്താണ്
change volume,ഒച്ച മാറ്റുക
search for emails from my boss michael,എന്‍റെ മേലധികാരി ബിബിനിൽ നിന്നുള്ള ഇമെയിലുകൾക്കായി തിരയുക
what will be the weather this week,ഈ ആഴ്ചയിലെ കാലാവസ്ഥ എന്തായിരിക്കും
can you convert my this money into,എന്റെ ഈ പണം നിങ്ങൾക്ക് മാറ്റാമോ
can you tell me how to get the answer to this,ഇതിനുള്ള ഉത്തരം എങ്ങനെ കിട്ടുമെന്ന് പറയാമോ
how tall is tom cruise,മമ്മൂട്ടി എത്ര നീളം ഉണ്ട്
are there any local events being put on tonight,ഇന്ന് രാത്രി എന്തെങ്കിലും പ്രാദേശിക പരിപാടികൾ നടക്കുന്നുണ്ടോ
notify me in fifteen before meeting starts,യോഗം ആരംഭിക്കുന്നതിന് പതിനഞ്ചു മിനിറ്റിനു മുൻപേ എന്നെ അറിയിക്കുക
play all music by billy joel,യേശുദാസ് എല്ലാം പാട്ട് പ്ലേ ചെയ്യുക
show last mail from john,അജയിന്റെ അവസാന മെയിൽ കാണിക്കുക
play my second playlist,എൻ്റെ രണ്ടാമത്തെ പ്ലേലിസ്റ്റ് പ്ലേ ചെയ്യുക
can they do delivery,അവർക്ക് ഡെലിവറി ചെയ്യാൻ കഴിയുമോ
resume the last kingdom for me,അവസാന രാജ്യം വീണ്ടും ഇടുക
set notifications on the current weather disasters in america,അമേരിക്കയിലെ നിലവിലെ കാലാവസ്ഥാ ദുരന്തങ്ങളെക്കുറിച്ചുള്ള അറിയിപ്പുകൾ സജ്ജമാക്കുക
please know that today i had a meeting with george,ഇന്ന് ഞാൻ ജോർജുമായി ഒരു കൂടിക്കാഴ്ച നടത്തിയിരുന്നുവെന്ന് ദയവായി അറിയുക
how many likes i have got on my eggless cake post on youtube,യൂട്യൂബിലെ എന്‍റെ മുട്ടയില്ലാത്ത കേക്ക് പോസ്റ്റിന് എനിക്ക് എത്ര ലൈക്കുകൾ ലഭിച്ചു
what is eighty seven minus fourteen,എമ്പത്തിയെഴിൽ നിന്ന് പതിനാല് കുറച്ചാൽ എത്രയാണ്
map out a route from here to abita brew pub,ഇവിടെ നിന്ന് രാജധാനി ബാറിലേക്കുള്ള ഒരു റൂട്ട് മാപ്പ് ചെയ്യുക
tell me the temperature,താപനില പറയൂ
turn on the lights,വെളിച്ചം ഓണക്കുക
please post this picture to my facebook,ഫേസ്ബുക് ആപ്പിലേക് ഈ ഫോട്ടോ പോസ്റ്റ് ചെയ്യുക
a little brighter thanks,അല്പം കൂടെ വെളിച്ചം കൂട്ടുക
add paav bhaji in menu card,ഭക്ഷണ പട്ടികയിൽ ഉപ്പുമാവ് ചേർക്കുക
how old is j. k. rowling,കെ ആര്‍ മീര എത്ര പ്രായം ഉണ്ട്
when will my chinese food arrive,എപ്പോഴാണ് എന്റെ ഇന്ത്യൻ ഭക്ഷണം എത്തിച്ചേരുക
what is the deepest point on earth,ഭൂമിയിലെ ഏറ്റവും ആഴമേറിയ സ്ഥലം ഏതാണ്
play my music,എന്‍റെ പാട്ട് പ്ലേ ചെയ്യുക
what's on my to do list for today,ഇന്നത്തെ ഞാൻ ചെയ്യേണ്ട കാര്യങ്ങളുടെ പട്ടികയിൽ ഉണ്ട്
olly what is a good rap album that came out this year,ഒല്ലി എന്താണ് ഈ വർഷം ഇറങ്ങിയ ഒരു നല്ല റാപ്പ് ആൽബം
give the definition of motivation,പ്രചോദനം എന്ന വാക്കിന്റെ വ്യാഖ്യാനം നൽകുക
play thinking out loud now,ഇപ്പോൾ ഹരിമുരളീരവം പ്ലേ ചെയ്യുക
remind me about the meeting in one hour,ഒരു മണിക്കൂർ ഉള്ളിൽ ഉള്ള യോഗം ഓർമ്മിപ്പിക്കുക
turn up the lights,വിളക്കുകൾ കൂടുതൽ കൂട്ടുക
lower the light to forty percent,പ്രകാശം നാൽപ്പത് ശതമാനത്തിലേക്ക് താഴ്ത്തുക
tell me about the sports stadium,കായിക മൈതാനത്തെക്കുറിച്ച് എന്നോട് പറയൂ
set the time zone to g. m. t.,സമയ മേഖല ജി. എം. ടി. ആയി സജ്ജമാക്കുക
show map,ഭൂപടം കാണിക്കുക
play boogie in your butt by eddie murphy,അകത്തിൻ്റെ കാർമുകിൽ വർണൻ്റെ പാട്ട് വെക്കുക
can you tell me my appointments for this week,കൂടികാഴ്ചകള്‍ ഈ ആഴ്ച്ച
give me my facebook update every three hours,ഓരോ മൂന്ന് മണിക്കൂറിലും എനിക്ക് എൻ്റെ ഫേസ്ബുക്ക് അപ്ഡേറ്റ് തരൂ
i need this event on a repeating cycle on my calendar,എന്‍റെ കലണ്ടറിൽ ആവർത്തിക്കുന്ന സൈക്കിളിൽ എനിക്ക് ഈ ഇവന്റ് ആവശ്യമാണ്
hey i missed you,ഹായ് ഞാൻ നിന്നെ മിസ്സ് ചെയ്തു
resume the song from the audiobook by madonna,മഡോണയുടെ ഓഡിയോബുക്കിൽ നിന്നുള്ള പാട്ട് തുടരുക
can you tweet lif about their app crashing,ഐകിയയുടെ ആപ്പ് ക്രാഷിംഗിനെക്കുറിച്ച് നിങ്ങൾക്ക് അവരെ ട്വീറ്റ് ചെയ്യാമോ
tell me about it,അതിനെക്കുറിച്ച് എന്നോട് പറയുക
turn off my desk lamp,എന്റെ മേശ വിളക്ക് ഓഫ് ചെയ്യുക
show all emails of contract,കരാറിന്‍റെ എല്ലാ ഇമെയിലുകളും കാണിക്കുക
who is doing facebook live right now,ആരാണ് ഇപ്പോൾ ഫേസ്ബുക്ക് തത്സമയം ചെയ്യുന്നത്
does restaurant have takeaway,ഭക്ഷണശാലയ്ക്ക് പാഴ്സൽ സേവനം ഉണ്ടോ
turn off smart plug socket,സ്മാർട്ട് പ്ലഗ് സോക്കറ്റ് അണയ്ക്കുക
